"biol_sign","is_clin_sign","previous_hgnc"
"AAK1",FALSE,"NA"
"AATK",FALSE,"NA"
"ABCA1",FALSE,"NA"
"ABCA12",FALSE,"NA"
"ABCA13",FALSE,"NA"
"ABCA3",FALSE,"NA"
"ABCA4",FALSE,"NA"
"ABI1",FALSE,"NA"
"ABL1",TRUE,"NA"
"ABL2",FALSE,"NA"
"ACSL3",FALSE,"NA"
"ACSL6",FALSE,"NA"
"ACVR1",TRUE,"NA"
"ACVR1B",FALSE,"NA"
"ACVR1C",FALSE,"NA"
"ACVR2A",FALSE,"NA"
"ACVR2B",FALSE,"NA"
"ACVRL1",FALSE,"NA"
"ADAM12",FALSE,"NA"
"ADAM29",FALSE,"NA"
"ADAMTS18",FALSE,"NA"
"ADAMTS19",FALSE,"NA"
"ADAMTS20",FALSE,"NA"
"ADAMTSL3",FALSE,"NA"
"ADCK1",FALSE,"NA"
"ADCK2",FALSE,"NA"
"ADCK3",FALSE,"NA"
"ADCK4",FALSE,"NA"
"ADCK5",FALSE,"NA"
"ADCY2",FALSE,"NA"
"ADNP2",FALSE,"NA"
"ADRBK1",FALSE,"NA"
"ADRBK2",FALSE,"NA"
"AFF1",FALSE,"NA"
"AFF3",FALSE,"NA"
"AFF4",FALSE,"NA"
"AHNAK",FALSE,"NA"
"AIM1",FALSE,"NA"
"AKAP6",FALSE,"NA"
"AKAP9",FALSE,"NA"
"AKT1",TRUE,"NA"
"AKT2",TRUE,"NA"
"AKT3",FALSE,"NA"
"ALDH2",FALSE,"NA"
"ALK",TRUE,"NA"
"ALPK1",FALSE,"NA"
"ALPK2",FALSE,"NA"
"ALPK3",FALSE,"NA"
"AMHR2",FALSE,"NA"
"ANAPC5",FALSE,"NA"
"ANK1",FALSE,"NA"
"ANK2",FALSE,"NA"
"ANK3",FALSE,"NA"
"ANKHD1",FALSE,"NA"
"ANKK1",FALSE,"NA"
"ANO2",FALSE,"NA"
"APC",TRUE,"NA"
"APOB",FALSE,"NA"
"AR",TRUE,"NA"
"ARAF",FALSE,"NA"
"ARAP3",FALSE,"NA"
"ARFGEF1",FALSE,"NA"
"ARFGEF2",FALSE,"NA"
"ARHGAP11A",FALSE,"NA"
"ARHGAP26",FALSE,"NA"
"ARHGAP29",FALSE,"NA"
"ARHGEF12",FALSE,"NA"
"ARHGEF38",FALSE,"NA"
"ARHGEF4",FALSE,"NA"
"ARHGEF9",FALSE,"NA"
"ARID1A",TRUE,"NA"
"ARID1B",TRUE,"NA"
"ARID2",FALSE,"NA"
"ARNT",FALSE,"NA"
"ASPSCR1",FALSE,"NA"
"ASTN1",FALSE,"NA"
"ASXL1",TRUE,"NA"
"ATF1",FALSE,"NA"
"ATIC",FALSE,"NA"
"ATM",TRUE,"NA"
"ATP11C",FALSE,"NA"
"ATP13A5",FALSE,"NA"
"ATP8B1",FALSE,"NA"
"ATR",FALSE,"NA"
"ATRX",TRUE,"NA"
"AURKA",TRUE,"NA"
"AURKB",FALSE,"NA"
"AURKC",FALSE,"NA"
"AXIN2",TRUE,"NA"
"AXL",FALSE,"NA"
"B2M",FALSE,"NA"
"BAI2",FALSE,"NA"
"BAI3",FALSE,"NA"
"BAP1",TRUE,"NA"
"BCAR1",FALSE,"NA"
"BCKDK",FALSE,"NA"
"BCL10",FALSE,"NA"
"BCL11A",FALSE,"NA"
"BCL11B",FALSE,"NA"
"BCL2",TRUE,"NA"
"BCL3",FALSE,"NA"
"BCL6",FALSE,"NA"
"BCL7A",FALSE,"NA"
"BCL9",FALSE,"NA"
"BCORL1",FALSE,"NA"
"BCR",TRUE,"NA"
"BIRC3",FALSE,"NA"
"BIRC6",FALSE,"NA"
"BLK",FALSE,"NA"
"BLM",TRUE,"NA"
"BMP2K",FALSE,"NA"
"BMPR1A",TRUE,"NA"
"BMPR1B",FALSE,"NA"
"BMPR2",FALSE,"NA"
"BMX",FALSE,"NA"
"BRAF",TRUE,"NA"
"BRCA1",TRUE,"NA"
"BRCA2",TRUE,"NA"
"BRD2",FALSE,"NA"
"BRD3",FALSE,"NA"
"BRD4",FALSE,"NA"
"BRDT",FALSE,"NA"
"BRIP1",TRUE,"NA"
"BRSK1",FALSE,"NA"
"BRSK2",FALSE,"NA"
"BTG1",FALSE,"NA"
"BTK",TRUE,"NA"
"BUB1",FALSE,"NA"
"BUB1B",TRUE,"NA"
"EDRF1",FALSE,"C10orf137"
"NUTM1",FALSE,"C15orf55"
"RMI2",FALSE,"C16orf75"
"STKLD1",FALSE,"C9orf96"
"CACNA1C",FALSE,"NA"
"CACNA1D",FALSE,"NA"
"CACNA1F",FALSE,"NA"
"CACNA2D3",FALSE,"NA"
"CAD",FALSE,"NA"
"CALR",TRUE,"NA"
"CAMK1",FALSE,"NA"
"CAMK1D",FALSE,"NA"
"CAMK1G",FALSE,"NA"
"CAMK2A",FALSE,"NA"
"CAMK2B",FALSE,"NA"
"CAMK2D",FALSE,"NA"
"CAMK2G",FALSE,"NA"
"CAMK4",FALSE,"NA"
"CAMKK1",FALSE,"NA"
"CAMKK2",FALSE,"NA"
"CAMKV",FALSE,"NA"
"CAMTA1",FALSE,"NA"
"CANT1",FALSE,"NA"
"CARD11",FALSE,"NA"
"CARS",FALSE,"NA"
"CASC5",FALSE,"NA"
"CASK",FALSE,"NA"
"CBFA2T3",FALSE,"NA"
"CBFB",FALSE,"NA"
"CBL",TRUE,"NA"
"CBLB",FALSE,"NA"
"CBLC",FALSE,"NA"
"CCAR1",FALSE,"NA"
"CCDC6",FALSE,"NA"
"CCNB1IP1",FALSE,"NA"
"CCNB3",FALSE,"NA"
"CCND1",TRUE,"NA"
"CCND2",FALSE,"NA"
"CCND3",FALSE,"NA"
"CCNE1",TRUE,"NA"
"CCR3",FALSE,"NA"
"CD163",FALSE,"NA"
"CD163L1",FALSE,"NA"
"CD22",FALSE,"NA"
"CD274",FALSE,"NA"
"CD74",FALSE,"NA"
"CD79A",FALSE,"NA"
"CD79B",FALSE,"NA"
"CDC27",FALSE,"NA"
"CDC42BPA",FALSE,"NA"
