Biologically Significant,Clinically Significant
AAK1,-
AATK,-
ABCA1,-
ABCA12,-
ABCA13,-
ABCA3,-
ABCA4,-
ABI1,-
ABL1,ABL1
ABL2,-
ACSL3,-
ACSL6,-
ACVR1,ACVR1
ACVR1B,-
ACVR1C,-
ACVR2A,-
ACVR2B,-
ACVRL1,-
ADAM12,-
ADAM29,-
ADAMTS18,-
ADAMTS19,-
ADAMTS20,-
ADAMTSL3,-
ADCK1,-
ADCK2,-
ADCK3,-
ADCK4,-
ADCK5,-
ADCY2,-
ADNP2,-
ADRBK1,-
ADRBK2,-
AFF1,-
AFF3,-
AFF4,-
AHNAK,-
AIM1,-
AKAP6,-
AKAP9,-
AKT1,AKT1
AKT2,AKT2
AKT3,-
ALDH2,-
ALK,ALK
ALPK1,-
ALPK2,-
ALPK3,-
AMHR2,-
ANAPC5,-
ANK1,-
ANK2,-
ANK3,-
ANKHD1,-
ANKK1,-
ANO2,-
APC,APC
APOB,-
AR,AR
ARAF,-
ARAP3,-
ARFGEF1,-
ARFGEF2,-
ARHGAP11A,-
ARHGAP26,-
ARHGAP29,-
ARHGEF12,-
ARHGEF38,-
ARHGEF4,-
ARHGEF9,-
ARID1A,ARID1A
ARID1B,ARID1B
ARID2,-
ARNT,-
ASPSCR1,-
ASTN1,-
ASXL1,ASXL1
ATF1,-
ATIC,-
ATM,ATM
ATP11C,-
ATP13A5,-
ATP8B1,-
ATR,-
ATRX,ATRX
AURKA,AURKA
AURKB,-
AURKC,-
AXIN2,AXIN2
AXL,-
B2M,-
BAI2,-
BAI3,-
BAP1,BAP1
BCAR1,-
BCKDK,-
BCL10,-
BCL11A,-
BCL11B,-
BCL2,BCL2
BCL3,-
BCL6,-
BCL7A,-
BCL9,-
BCORL1,-
BCR,BCR
BIRC3,-
BIRC6,-
BLK,-
BLM,BLM
BMP2K,-
BMPR1A,BMPR1A
BMPR1B,-
BMPR2,-
BMX,-
BRAF,BRAF
BRCA1,BRCA1
BRCA2,BRCA2
BRD2,-
BRD3,-
BRD4,-
BRDT,-
BRIP1,BRIP1
BRSK1,-
BRSK2,-
BTG1,-
BTK,BTK
BUB1,-
BUB1B,BUB1B
C10ORF137,-
C15ORF55,-
C16orf75,-
C9ORF96,-
CACNA1C,-
CACNA1D,-
CACNA1F,-
CACNA2D3,-
CAD,-
CALR,CALR
CAMK1,-
CAMK1D,-
CAMK1G,-
CAMK2A,-
CAMK2B,-
CAMK2D,-
CAMK2G,-
CAMK4,-
CAMKK1,-
CAMKK2,-
CAMKV,-
CAMTA1,-
CANT1,-
CARD11,-
CARS,-
CASC5,-
CASK,-
CBFA2T3,-
CBFB,-
CBL,CBL
CBLB,-
CBLC,-
CCAR1,-
CCDC6,-
CCNB1IP1,-
CCNB3,-
CCND1,CCND1
CCND2,-
CCND3,-
CCNE1,CCNE1
CCR3,-
CD163,-
CD163L1,-
CD22,-
CD274,-
CD74,-
CD79A,-
CD79B,-
CDC27,-
CDC42BPA,-
CDC42BPB,-
CDC42BPG,-
CDC7,-
CDC73,CDC73
CDH1,CDH1
CDH10,-
CDH11,-
CDH23,-
CDH6,-
CDK1,-
CDK10,-
CDK11A,-
CDK12,-
CDK13,-
CDK14,-
CDK14,-
CDK15,-
CDK16,-
CDK17,-
CDK18,-
CDK19,-
CDK2,-
CDK20,-
CDK3,-
CDK4,CDK4
CDK5,-
CDK6,CDK6
CDK7,-
CDK8,-
CDK9,-
CDKL1,-
CDKL2,-
CDKL3,-
CDKL4,-
CDKL5,-
CDKN1A,-
CDKN1B,CDKN1B
CDKN2A,CDKN2A
CDKN2B,CDKN2B
CDKN2C,CDKN2C
CDX2,-
CEBPA,CEBPA
CELSR1,-
CELSR2,-
CENPE,-
CENPF,-
CFL2,-
CHCHD7,-
CHD5,-
CHD6,-
CHD8,-
CHEK1,-
CHEK2,CHEK2
CHGB,-
CHIC2,-
CHL1,-
CHN1,-
CHRNA9,-
CHUK,-
CIC,CIC
CIITA,-
CIT,-
CLK1,-
CLK2,-
CLK3,-
CLK4,-
CLP1,-
CLSPN,-
CLTC,-
CLTCL1,-
CMYA5,-
CNBP,-
CNGA2,-
CNTN5,-
CNTNAP2,-
CNTNAP5,-
CNTRL,-
COL11A1,-
COL14A1,-
COL1A1,-
COL22A1,-
COL3A1,-
COL4A4,-
COL5A3,-
COL6A3,-
COL6A6,-
COX6C,-
CPAMD8,-
CPS1,-
CREB1,-
CREB3L1,-
CREB3L2,-
CREBBP,CREBBP
CRKL,-
CRLF2,-
CRTC1,-
CRTC3,-
CSF1R,CSF1R
CSK,-
CSMD1,-
CSMD3,-
CSNK1A1,-
CSNK1A1L,-
CSNK1D,-
CSNK1E,-
CSNK1G1,-
CSNK1G2,-
CSNK1G3,-
CSNK2A1,-
CSNK2A2,-
CTNNA1,-
CTNNA2,-
CTNNB1,CTNNB1
CTNND1,-
CUBN,-
CUL9,-
CXCR7,-
CYFIP1,-
CYLD,CYLD
